Name_lang,Pos_0,Pos_1,Pos_2,MapOffset_0,MapOffset_1,FlightMapOffset_0,FlightMapOffset_1,ID,ContinentID,ConditionID,CharacterBitNumber,Flags,UiTextureKitID,Facing,SpecialIconConditionID,VisibilityConditionID,MountCreatureID_0,MountCreatureID_1
"Northshire Abbey",-8888.98046875,-0.54000002146,94.38999938965,0,0,0,0,1,0,0,1,0,0,0,0,0,308,0
"Stormwind, Elwynn",-8840.5595703125,489.70001220703,109.61000061035,0,0,0,0,2,0,0,2,1,0,0,0,0,0,541
"Programmer Isle",16391.810546875,16341.209960938,69.44000244141,0,0,0,0,3,0,0,3,0,0,0,0,0,308,0
"Sentinel Hill, Westfall",-10629.290039062,1036.9499511719,34.02000045776,0,0,0,0,4,0,0,4,1,0,0,0,0,0,541
"Lakeshire, Redridge",-9429.099609375,-2231.3999023438,68.65000152588,0,0,0,0,5,0,0,5,1,0,0,0,0,0,541
"Ironforge, Dun Morogh",-4821.7797851562,-1155.4399414062,502.20999145508,0,0,0,0,6,0,0,6,1,0,0,0,0,0,541
"Menethil Harbor, Wetlands",-3792.2600097656,-783.28997802734,9.06000041962,0,0,0,0,7,0,0,7,1,0,0,0,0,0,541
"Thelsamar, Loch Modan",-5421.91015625,-2930.0100097656,347.25,0,0,0,0,8,0,0,8,1,0,0,0,0,0,541
"Booty Bay, Stranglethorn",-14271.76953125,299.86999511719,31.09000015259,0,0,0,0,9,0,0,9,0,0,0,0,0,0,541
"The Sepulcher, Silverpine Forest",478.85998535156,1536.5899658203,131.32000732422,0,0,0,0,10,0,0,10,2,0,0,0,0,3574,0
"Undercity, Tirisfal",1568.6199951172,267.9700012207,-43.09999847412,0,0,0,0,11,0,0,11,2,0,0,0,0,3574,0
"Darkshire, Duskwood",-10515.459960938,-1261.6500244141,41.34000015259,0,0,0,0,12,0,0,12,1,0,0,0,0,0,541
"Tarren Mill, Hillsbrad",-0.05999999866,-859.90997314453,58.83000183105,0,0,0,0,13,0,0,13,2,0,0,0,0,3574,0
"Southshore, Hillsbrad",-711.47998046875,-515.47998046875,26.11000061035,0,0,0,0,14,0,0,14,1,0,0,0,0,0,541
"Eastern Plaguelands",2253.3999023438,-5344.8999023438,83.37999725342,0,0,0,0,15,0,0,15,0,0,0,0,0,0,541
"Refuge Pointe, Arathi",-1240.5300292969,-2515.1101074219,22.15999984741,0,0,0,0,16,0,0,16,1,0,0,0,0,0,541
"Hammerfall, Arathi",-916.28997802734,-3496.8898925781,70.44999694824,0,0,0,0,17,0,0,17,2,0,0,0,0,2224,0
"Booty Bay, Stranglethorn",-14444.290039062,509.61999511719,26.20000076294,0,0,0,0,18,0,0,18,2,0,0,0,0,2224,0
"Booty Bay, Stranglethorn",-14473.049804688,464.14999389648,36.43000030518,0,0,0,0,19,0,0,19,1,0,0,0,0,0,541
"Grom'gol, Stranglethorn",-12414.1796875,146.28999328613,3.27999997139,0,0,0,0,20,0,0,20,2,0,0,0,0,2224,0
"Kargath, Badlands",-6633.990234375,-2180.0500488281,244.13999938965,0,0,0,0,21,0,0,21,2,0,0,0,0,2224,0
"Thunder Bluff, Mulgore",-1197.2099609375,29.70999908447,176.94999694824,0,0,0,0,22,1,0,22,2,0,0,0,0,2224,0
"Orgrimmar, Durotar",1677.5899658203,-4315.7099609375,61.16999816895,0,0,0,0,23,1,0,23,2,0,0,0,0,2224,0
"Generic, World Target 002",-6666,-2222.3000488281,278.60000610352,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0
"Crossroads, The Barrens",-441.79998779297,-2596.080078125,96.05999755859,0,0,0,0,25,1,0,25,2,0,0,0,0,2224,0
"Auberdine, Darkshore",6341.3798828125,557.67999267578,16.29000091553,0,0,0,0,26,1,0,26,1,0,0,0,0,0,3837
"Rut'theran Village, Teldrassil",8643.58984375,841.04998779297,23.29999923706,0,0,0,0,27,1,0,27,1,0,0,0,0,0,3837
"Astranaar, Ashenvale",2827.3400878906,-289.23999023438,107.16000366211,0,0,0,0,28,1,0,28,1,0,0,0,0,0,3837
"Sun Rock Retreat, Stonetalon Mountains",966.57000732422,1040.3199462891,104.26999664307,0,0,0,0,29,1,0,29,2,0,0,0,0,2224,0
"Freewind Post, Thousand Needles",-5407.7099609375,-2414.3000488281,90.31999969482,0,0,0,0,30,1,0,30,2,0,0,0,0,2224,0
"Thalanaar, Feralas",-4491.8798828125,-775.89001464844,-39.52000045776,0,0,0,0,31,1,0,31,1,0,0,0,0,0,3837
"Theramore, Dustwallow Marsh",-3825.3701171875,-4516.580078125,10.43999958038,0,0,0,0,32,1,0,32,1,0,0,0,0,0,541
"Stonetalon Peak, Stonetalon Mountains",2681.1298828125,1461.6800537109,232.88000488281,0,0,0,0,33,1,0,33,1,0,0,0,0,0,3837
"Transport, Booty Bay",-1965.1700439453,-5824.2900390625,-1.05999994278,0,0,0,0,34,1,0,34,0,0,0,0,0,0,0
"Transport, Orgrimmar",1320.0699462891,-4649.2001953125,21.56999969482,0,0,0,0,35,1,0,35,0,0,0,0,0,0,0
"Generic, World Target 001",-8644.6201171875,433.2799987793,59.45999908447,0,0,0,0,36,0,0,36,2,0,0,0,0,15665,0
"Nijel's Point, Desolace",139.24000549316,1325.8199462891,193.5,0,0,0,0,37,1,0,37,1,0,0,0,0,0,3837
"Shadowprey Village, Desolace",-1767.6400146484,3263.8898925781,4.94000005722,0,0,0,0,38,1,0,38,2,0,0,0,0,2224,0
"Gadgetzan, Tanaris",-7223.9702148438,-3734.5900878906,8.39000034332,0,0,0,0,39,1,0,39,1,0,0,0,0,0,541
"Gadgetzan, Tanaris",-7048.8901367188,-3780.3601074219,10.18999958038,0,0,0,0,40,1,0,40,2,0,0,0,0,2224,0
"Feathermoon, Feralas",-4373.7998046875,3338.6499023438,12.27000045776,0,0,0,0,41,1,0,41,1,0,0,0,0,0,3837
"Camp Mojache, Feralas",-4419.8598632812,199.30999755859,25.05999946594,0,0,0,0,42,1,0,42,2,0,0,0,0,2224,0
"Aerie Peak, The Hinterlands",283.73999023438,-2002.7600097656,194.74000549316,0,0,0,0,43,0,0,43,1,0,0,0,0,0,541
"Valormok, Azshara",3661.5200195312,-4390.3798828125,113.05000305176,0,0,0,0,44,1,0,44,2,0,0,0,0,2224,0
"Nethergarde Keep, Blasted Lands",-11112.25,-3435.7399902344,79.08999633789,0,0,0,0,45,0,0,45,1,0,0,0,0,0,541
"Transport, Southshore",-986.42999267578,-547.85998535156,-3.8599998951,0,0,0,0,46,0,0,46,0,0,0,0,0,0,0
